,Perimeter,Eccentricity,Convex_Area,Major_Axis_Length,Minor_Axis_Length,Number_of_pixels,ratio_of_reagion,outcome
0,414699005126953.0,0.88044011592865,10987.0,171.729873657227,81.4269790649414,10729,0.794211268424988,1
1,441122985839844.0,0.872626423835754,12076.0,176.483489990234,86.1924667358398,11732,0.637470126152039,1
2,387093994140625.0,0.882439494132996,9418.0,159.224502563477,74.9033279418945,9221,0.7684166431427,1
3,434514007568359.0,0.888045430183411,11965.0,181.290466308594,83.3493347167969,11787,0.74412876367569,1
4,444631011962891.0,0.84538596868515,12964.0,174.560256958008,93.2424011230469,12574,0.654725313186646,1
5,488865997314453.0,0.887992560863495,15322.0,205.215209960938,94.3698196411133,15107,0.787232935428619,0
6,414619995117188.0,0.873765587806702,10899.0,167.751922607422,81.5857009887695,10578,0.603973984718323,1
7,417506011962891.0,0.880834937095642,10753.0,169.240203857422,80.1222915649414,10497,0.581615686416626,1
8,508830993652344.0,0.880322515964508,16431.0,209.183883666992,99.2317581176758,16091,0.670458316802979,0
9,484881988525391.0,0.889187812805176,14328.0,198.721298217773,90.9234085083008,13998,0.599511742591858,0
10,512427978515625.0,0.903344213962555,16050.0,216.615707397461,92.9100189208984,15593,0.777473092079163,0
11,43281201171875.0,0.882663011550903,11838.0,178.890762329102,84.0798034667969,11552,0.636473834514618,1
12,496903991699219.0,0.910292327404022,15279.0,215.950271606445,89.3960876464844,14998,0.824836373329163,0
13,409016998291016.0,0.859338760375977,11123.0,165.919464111328,84.8523483276367,10889,0.804804146289825,1
14,381878997802734.0,0.89151006937027,9260.0,160.804656982422,72.8446578979492,9127,0.589561402797699,1
15,421959991455078.0,0.871618747711182,11201.0,170.873489379883,83.7595291137695,10984,0.69554203748703,1
16,479677001953125.0,0.890638887882233,14434.0,199.489151000977,90.7099838256836,14076,0.781218767166138,0
17,459964996337891.0,0.903880655765533,12892.0,195.435501098633,83.6043243408203,12682,0.582812488079071,0
18,473766998291016.0,0.89746880531311,13453.0,195.838241577148,86.3799285888672,13084,0.588044941425323,0
19,420815002441406.0,0.903586030006409,10981.0,179.967727661133,77.099365234375,10815,0.569210529327393,1
20,428.75,0.871081829071045,12016.0,175.960006713867,86.4206314086914,11795,0.73811012506485,1
21,490510009765625.0,0.913905739784241,14284.0,209.720840454102,85.1312408447266,1386,0.795872509479523,0
22,423240997314453.0,0.867580413818359,11350.0,170.155044555664,84.6175765991211,11095,0.772363364696503,1
23,429781005859375.0,0.889461159706116,11532.0,179.138137817383,81.868049621582,11342,0.578939318656921,1
24,470303985595703.0,0.921796679496765,12940.0,205.092681884766,79.5090408325195,12745,0.533174335956573,0
25,479930999755859.0,0.894290566444397,14606.0,202.702651977539,90.7067489624023,14362,0.591466903686523,0
26,462723999023438.0,0.892086744308472,13465.0,194.14875793457,87.728874206543,13256,0.647423684597015,0
27,432546997070313.0,0.87159276008606,12077.0,175.797927856445,86.1815338134766,11743,0.733204305171967,1
28,396816009521484.0,0.892978966236115,9948.0,166.890213012695,75.1170120239258,982,0.57117885351181,1
29,511053985595703.0,0.897654056549072,15669.0,211.299926757813,93.1200485229492,15274,0.693264365196228,0
30,480026000976563.0,0.892662405967712,14298.0,199.823135375977,90.0654678344727,13964,0.657748460769653,0
31,454384002685547.0,0.886821925640106,12659.0,186.075973510742,85.9878158569336,12404,0.572985947132111,1
32,450345001220703.0,0.866304755210876,13253.0,183.596939086914,91.709587097168,13076,0.677021861076355,1
33,423787994384766.0,0.873510777950287,11673.0,174.072967529297,84.7395477294922,11465,0.733806967735291,1
34,427429992675781.0,0.894782543182373,11424.0,180.437194824219,80.5656051635742,11232,0.598784506320953,1
35,431800994873047.0,0.915742695331573,11332.0,188.453948974609,75.714241027832,11169,0.538654446601868,1
36,462615997314453.0,0.908501029014587,12794.0,196.445739746094,82.0912704467773,12465,0.730142951011658,0
37,403278015136719.0,0.856858611106873,10749.0,162.457336425781,83.7551193237305,10499,0.744926929473877,1
38,481174987792969.0,0.890045583248138,13950.0,195.900024414063,89.3052368164063,13424,0.658555746078491,0
39,499110992431641.0,0.900719225406647,14815.0,206.779418945313,89.8253402709961,14317,0.804235458374023,0
40,487670013427734.0,0.910084664821625,14181.0,207.970764160156,86.187744140625,13819,0.569691240787506,0
41,428561004638672.0,0.855931162834167,12125.0,171.586273193359,88.7255020141602,11764,0.688033699989319,1
